"","X1","X2","X3","X4","MeanDecreaseAccuracy","MeanDecreaseGini"
"C1_count",0.0568617839869278,0.00927324762460647,0.00673181196341238,0.00553765528904167,0.0220922854901139,379.887383336381
"C2_count",0.006867795100713,0.0357217667981629,0.00421868056733034,0.00466477542146977,0.0116934917109842,251.505990961179
"C3_count",0.00744760704079068,0.00818081362179458,0.0244718927080767,0.00446670754871662,0.0139646622038924,193.458653258804
"C4_count",0.00415808861089758,0.00491570260355508,0.00621846351041478,0.0900945846287393,0.0136776023201294,221.114378224931
"D1_count",0.0112440316073726,0.00360900158490965,0.00263085175167858,0.00215587111337879,0.00536089711887995,133.710638951042
"D2_count",0.00281796466711874,0.00610459421449837,0.00223724455293117,0.00190120030845562,0.00319434782793745,124.205995535747
"D3_count",0.00606080607693921,0.00590790858555944,0.00911431112573077,0.00376031930788999,0.00699704337624642,149.096084777455
"E0_count",0.00350604720912478,0.00420489741683362,0.00461646290094542,0.00187224732737902,0.00392724398458283,133.338985101404
"E1_count",0.00293238345670941,0.00436533552960434,0.00457800137187291,0.00328297180126145,0.00391549509475625,129.86023895094
"F0_count",0.00355389867669906,0.00337776989748889,0.00384653210907833,0.00198978278831788,0.00347650133285953,121.550441190318
"F1_count",0.00291545547313747,0.00251938751954715,0.00304487626326148,0.00224994093488116,0.00281727795589165,112.371052547786
"F2_count",0.00371259783376603,0.00325930446361953,0.00413160138783154,0.00363825460313588,0.00377327762591636,124.988733634987
"F3_count",0.000808722035465144,0.000951928335814849,0.00132021005648058,0.00120870385570865,0.0010806745726062,75.3167511612574
"G1_count",0.00250809494136315,0.00169950158663867,0.00215141800991974,0.00136471890752578,0.00208257594071246,95.6915217960119
"G2_count",0.00272413923003335,0.00354869527575291,0.00350315952171349,0.00212934126969909,0.00314311419548657,126.581571142243
"G3_count",0.00268485167584264,0.00461095122455834,0.00304496364529403,0.00242099198643886,0.00320686674350059,125.617199825533
"G4_count",0.00128858686138786,0.00136624753062756,0.0012362022055749,0.000966942082415112,0.00125375431738719,89.6341375341311
"car_age_cut",0.00229623886868354,0.00121042070224778,0.00224414868606167,0.000900000790679011,0.00190651154215853,95.8447982637775
"age_youngest_cut",0.000999344022329679,0.00280252956419545,0.00216917979979911,0.00176866763362414,0.00191527178714754,127.757078161339
"age_oldest_cut",0.00142817006227433,0.00188836679291392,0.00229936957948496,0.00361491317677159,0.00208224528823782,124.270523588167
"duration_previous_cut",0.00055498812465794,0.000453433152242706,0.000335162018970596,0.000279205885001665,0.000419247884828039,140.513352653921
"last_cost_cut",0.00310360324798536,0.00337513889480793,0.00624063429110501,0.00317902305912698,0.00439473800105651,187.906021853223
